"CA5 Personal Income by Major Component and Earnings by SIC Industry 1/"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","Income by place of residence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",1046307,1086705,1201269,1337254,1501401,1618877,1782199,2010121,2267105,2581672,2866633,3149399,3389193,3577528,3851694,4238255,4619905,4938342,5198787,5687472,6188533,6578347,6650541,7123851,7520645,8058313,8612704,9021772,9516635,10134326,10864958,11697180
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","20","Population (persons) 2/",223597,234226,236222,241470,246780,256447,251024,253934,257407,259775,262859,264400,262466,260239,260212,260737,262568,266087,269717,273346,279329,283987,287126,290323,291617,293671,297926,303133,308398,312601,318270,324372
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","30","Per capita personal income (dollars)",4679,4640,5085,5538,6084,6313,7100,7916,8807,9938,10906,11911,12913,13747,14802,16255,17595,18559,19275,20807,22155,23164,23162,24538,25789,27440,28909,29762,30858,32419,34138,36061
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","Derivation of personal income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","35","  Earnings by place of work",946087,942836,1069336,1201158,1390701,1444038,1537901,1850069,2169109,2558764,2866785,3003196,3217563,3274432,3570780,4036222,4472830,4727943,4941750,5468718,5818026,6214662,6241187,6677851,6926473,7325131,7474587,7814480,8451576,9099586,10094076,10820098
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","36","  Less: Contributions for government social insurance 3/",65677,64093,74950,89223,120110,129203,133228,164904,192960,236617,272261,277809,322787,334386,373401,438596,495653,525235,543160,622018,658594,713841,726643,768751,800546,865568,883361,903407,975250,1042066,1141106,1201589
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","37","    Employee and self-employed contributions for government social insurance",30496,30066,34938,40062,54087,58843,60914,73351,85002,102458,119458,124776,146455,151009,166672,190760,221383,237921,250128,287301,309310,337478,343638,360790,375529,407014,418871,436194,475079,503868,558358,589610
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","38","    Employer contributions for government social insurance",35181,34027,40012,49161,66023,70360,72314,91553,107958,134159,152803,153033,176332,183377,206729,247836,274270,287314,293032,334717,349284,376363,383005,407961,425017,458554,464490,467213,500171,538198,582748,611979
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","42","  Plus: Adjustment for residence 4/",-11391,3540,-21186,-28945,-53795,-37409,-37700,-114131,-182615,-259611,-325742,-333317,-363532,-343238,-397824,-497927,-567204,-543845,-546245,-627241,-659911,-697552,-688524,-706761,-663592,-667671,-439905,-457843,-660360,-732174,-1010386,-1029282
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","45","  Equals: Net earnings by place of residence",869019,882283,973200,1082990,1216796,1277426,1366973,1571034,1793534,2062536,2268782,2392070,2531244,2596808,2799555,3099699,3409973,3658863,3852345,4219459,4499521,4803269,4826020,5202339,5462335,5791892,6151321,6453230,6815966,7325346,7942584,8589227
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","46","  Plus: Dividends, interest, and rent 5/",130388,144766,157770,174025,190090,217306,242252,264487,297520,335291,381185,451900,551206,642141,694584,785564,848144,910451,965886,1070886,1253248,1297460,1294599,1359918,1454752,1647799,1763467,1813037,1953244,2066723,2090184,2237776
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","47","  Plus: Personal current transfer receipts",46900,59656,70299,80239,94515,124145,172974,174600,176051,183845,216666,305429,306743,338579,357555,352992,361788,369028,380556,397127,435764,477618,529922,561594,603558,618622,697916,755505,747425,742257,832190,870177
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","Earnings by place of work (thousands of dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","Components of earnings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","50","  Wages and salaries",767791,769058,868018,964020,1120736,1169609,1221197,1473878,1712611,2031526,2270654,2362955,2537246,2576399,2783610,3129859,3451255,3643022,3839411,4187820,4447905,4741622,4739945,5007870,5187434,5515523,5634528,5922246,6408943,6931349,7621190,8139692
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","60","  Supplements to wages and salaries",107611,105255,129405,149693,173519,182264,211760,259388,318954,383270,446095,491828,531132,559295,627297,714599,816727,883824,885840,1032958,1084579,1190024,1248788,1410321,1462306,1514552,1493655,1502702,1567290,1670222,1841872,2040718
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","61","    Employer contributions for employee pension and insurance funds 6/",72430,71228,89393,100532,107496,111904,139446,167835,210996,249111,293292,338795,354800,375918,420568,466763,542457,596510,592808,698241,735295,813661,865783,1002360,1037289,1055998,1029165,1035489,1067119,1132024,1259124,1428739
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","62","    Employer contributions for government social insurance",35181,34027,40012,49161,66023,70360,72314,91553,107958,134159,152803,153033,176332,183377,206729,247836,274270,287314,293032,334717,349284,376363,383005,407961,425017,458554,464490,467213,500171,538198,582748,611979
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","70","  Proprietors' income 7/",70685,68523,71913,87445,96446,92165,104944,116803,137544,143968,150036,148413,149185,138738,159873,191764,204848,201097,216499,247940,285542,283016,252454,259660,276733,295056,346404,389532,475343,498015,631014,639688
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","71","    Farm proprietors' income",5452,4645,3539,8281,10781,4490,10450,5286,6769,1673,1633,367,3789,-568,-4012,1125,5643,301,1163,-1077,3065,1282,-3722,-570,-4198,-5026,-5359,-6239,-6816,-5773,-1833,-8046
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","72","    Nonfarm proprietors' income",65233,63878,68374,79164,85665,87675,94494,111517,130775,142295,148403,148046,145396,139306,163885,190639,199205,200796,215336,249017,282477,281734,256176,260230,280931,300082,351763,395771,482159,503788,632847,647734
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","Earnings by industry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","81","  Farm earnings",6748,6117,5067,9904,12572,6577,12638,7804,9577,4964,5136,3921,7135,3102,-339,4921,9576,4022,4932,3421,8223,7757,3050,6866,3227,2302,1933,1301,1284,3131,6691,1924
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","82","  Nonfarm earnings",939339,936719,1064269,1191254,1378129,1437461,1525263,1842265,2159532,2553800,2861649,2999275,3210428,3271330,3571119,4031301,4463254,4723921,4936818,5465297,5809803,6206905,6238137,6670985,6923246,7322829,7472654,7813179,8450292,9096455,10087385,10818174
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","90","    Private nonfarm earnings",732049,696854,788703,884054,1039494,1059447,1090112,1361839,1627930,1948657,2187755,2241822,2384103,2363590,2604882,2998927,3298341,3465740,3576662,4005281,4227884,4462073,4388174,4676360,4847263,5179116,5255286,5549295,6069538,6657006,7463808,8016110
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","100","      Agricultural services, forestry, and fishing",2042,2268,2552,2729,3114,3708,3600,3974,4563,6062,6935,7858,7609,6187,7252,8334,9776,11232,11628,16644,20503,23081,23336,24172,24630,27005,31418,35468,38182,41487,46398,49734
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","110","        Agricultural services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6087,7022,7935,9394,10688,"(D)","(D)","(D)","(D)",22571,23326,24111,26408,30821,34925,"(D)",40505,45078,48269
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","120","        Forestry and fishing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",100,230,399,382,544,"(D)","(D)","(D)","(D)",765,846,519,597,597,543,"(D)",982,1320,1465
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","121","          Forestry","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",98,226,398,370,526,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","122","          Fishing","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","200","      Mining",2449,2222,2347,3010,3647,4536,3814,4675,5410,4537,5458,9387,10006,11193,7366,9741,13591,5116,7350,6602,4084,3234,3357,3808,4852,6225,1865,3163,3779,4776,5195,8260
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","210","        Metal mining",0,0,"(L)",0,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",-52,"(L)","(L)","(L)",0,"(L)",0,0,"(L)","(L)","(L)","(L)",-66,"(L)",80,72
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","220","        Coal mining",0,0,0,0,0,0,0,0,0,0,0,"(L)","(L)","(L)","(L)","(L)","(L)","(L)",-209,0,0,0,0,0,0,0,0,0,0,0,0,0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","230","        Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2670,2439,2224,3325,4326,5561,184,453,1002,1150,980,2173
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","240","        Nonmetallic minerals, except fuels","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1414,797,1133,483,536,666,1683,2707,2843,3672,4135,6015
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","300","      Construction",48597,47524,50771,55530,61189,62088,65235,83021,69605,89042,96693,91817,82652,130844,137402,142180,124831,140888,156286,194085,218563,208592,178244,171271,182573,208741,251428,301937,332645,362245,403977,423703
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","310","        General building contractors",11952,11376,13530,13804,14598,15035,14096,12908,18358,24086,29652,27951,21268,"(D)","(D)","(D)",23863,34912,38495,47087,50183,42819,38548,35471,38246,45538,48631,61579,64899,67050,80147,83995
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","320","        Heavy construction contractors",6763,6525,5446,6061,5719,6505,17614,32551,7304,8994,12520,8709,9040,"(D)","(D)","(D)",30275,22243,23752,31360,40675,47489,29428,21259,22642,27661,35156,37944,36865,44056,49039,55757
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","330","        Special trade contractors",29882,29623,31795,35665,40872,40548,33525,37562,43943,55962,54521,55157,52344,46322,48014,53695,70693,83733,94039,115638,127705,118284,110268,114541,121685,135542,167641,202414,230881,251139,274791,283951
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","400","      Manufacturing",436587,384479,452290,505483,595225,562536,546163,740790,937152,1112900,1251070,1221882,1295940,1194143,1314904,1593704,1781657,1778600,1728752,1913890,1849732,1926162,1894226,2029745,2035513,2181636,2051788,2056083,2174733,2332518,2656371,2909710
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","410","        Durable goods manufacturing",402250,348723,413352,459288,544396,513178,496683,686573,870441,1027685,1129029,1102505,1178117,1070511,1154395,1407789,1563367,1582061,1528885,1683569,1587530,1625297,1569671,1663196,1642080,1761935,1609488,1595709,1659046,1725000,1908466,1912877
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","413","          Lumber and wood products",790,766,825,1588,4143,6684,2463,1196,1358,1696,2127,1623,1713,1438,1225,1819,1363,1469,1754,2055,2326,2401,2028,2421,2031,2683,4335,4185,4250,4568,5340,4829
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","417","          Furniture and fixtures","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",373,710,1004,"(D)","(D)","(D)",14456,6081,3101,3228,"(D)","(D)","(D)",1993,1528,1598,1557
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","420","          Stone, clay, and glass products",1821,1640,1702,1895,1289,1222,1905,1923,2367,2751,2950,2064,1967,1965,1913,1772,1978,2013,5443,5712,6041,6881,9561,11039,10443,11037,11654,10802,7994,7574,8397,9204
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","423","          Primary metal industries",5873,4611,4612,5870,5942,7337,1833,1221,1958,2267,1905,2096,2328,2340,2976,5731,6600,9901,"(D)","(D)","(D)",8993,8199,10241,9864,10415,8004,7877,8529,11317,3429,3434
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","426","          Fabricated metal products",29596,23599,24964,30689,40103,39012,35947,36820,42048,46267,51684,52701,58443,53116,59106,61257,60300,60592,56931,56037,62969,63837,64585,74908,"(D)",94092,99625,112660,"(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","429","          Industrial machinery and equipment",25887,23298,20197,24191,29563,32485,34981,39461,42260,49961,55147,57466,61783,64883,67815,80803,86200,106839,127058,145799,170445,167434,171222,169788,172657,199096,206945,197958,225961,257760,260519,275559
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","432","          Electronic and other electric equipment","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",347069,348292,316224,299974,279322,296432,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","435","          Motor vehicles and equipment",202540,160468,218628,240471,280216,241072,247342,382811,498097,594941,716392,753799,820866,715914,752921,932316,1051528,1019937,910726,1007601,915591,965467,927832,985618,914326,946481,816789,799276,807933,821528,982158,968172
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","438","          Other transportation equipment","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1020,1142,"(D)",1071,978,2636,3145,"(D)","(D)",3452,3643,3906,4089,4212
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","441","          Instruments and related products",21988,22587,22734,9235,11401,12725,8536,16675,18455,23595,27032,31040,36477,38081,35107,31787,35799,39084,48969,73998,77695,80851,85924,93548,103075,107863,115304,114184,121065,121635,120068,115637
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","444","          Miscellaneous manufacturing industries",293,871,1080,986,1135,1314,1318,1406,2073,2639,3330,4670,4944,5306,6302,7138,8510,8992,9885,11672,13116,13932,13939,13464,12200,13313,14760,15690,17232,17548,18805,20118
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","447","          Ordnance 8/",0,0,0,0,0,0,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","450","        Nondurable goods manufacturing",34337,35756,38938,46195,50829,49358,49480,54217,66711,85215,122041,119377,117823,123632,160509,185915,218290,196539,199867,230321,262202,300865,324555,366549,393433,419701,442300,460374,515687,607518,747905,996833
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","453","          Food and kindred products",3937,4365,4224,6495,6324,6379,6802,7246,8173,10045,11826,10874,11835,13040,13592,13767,14615,16710,15911,17297,18917,21455,23106,19929,20717,22126,20778,19568,"(D)",20741,20433,23903
