"CA6 Compensation of Employees by SIC Industry"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1998","1999","2000"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","Total compensation of employees","","",""
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1","Compensation of employees (thousands of dollars) 1/",8601571,9463062,10180410
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","5","  Wages and salaries",6931349,7621190,8139692
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","6","  Supplements to wages and salaries",1670222,1841872,2040718
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","7","    Employer contributions for employee pension and insurance funds 2/",1132024,1259124,1428739
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","8","    Employer contributions for government social insurance",538198,582748,611979
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","9","Average compensation per job (dollars) 3/",42425,44935,47507
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","Compensation of employees by industry","","",""
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","81","  Farm compensation",8904,8524,9970
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","82","  Nonfarm compensation",8592667,9454538,10170440
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","90","    Private nonfarm compensation",6153218,6830961,7368376
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","100","      Agricultural services, forestry, and fishing",35196,39285,41794
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","110","        Agricultural services",34457,38332,40729
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","120","        Forestry and fishing",739,953,1065
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","121","          Forestry","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","122","          Fishing","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","200","      Mining",3672,4135,6015
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","210","        Metal mining",0,0,0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","220","        Coal mining",0,0,0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","230","        Oil and gas extraction",0,0,0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","240","        Nonmetallic minerals, except fuels",3672,4135,6015
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","300","      Construction",280584,312268,340519
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","310","        General building contractors",53480,61313,66361
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","320","        Heavy construction contractors",43542,48402,55343
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","330","        Special trade contractors",183562,202553,218815
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","400","      Manufacturing",2284267,2574014,2801153
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","410","        Durable goods manufacturing",1721865,1904442,1908212
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","413","          Lumber and wood products",4502,5254,4762
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","417","          Furniture and fixtures",1526,1594,1554
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","420","          Stone, clay, and glass products",7529,8358,9169
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","423","          Primary metal industries",11312,3428,3433
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","426","          Fabricated metal products","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","429","          Industrial machinery and equipment",257533,260283,275083
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","432","          Electronic and other electric equipment","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","435","          Motor vehicles and equipment",821455,982037,968039
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","438","          Other transportation equipment",3881,4057,4180
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","441","          Instruments and related products",121243,119811,114985
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","444","          Miscellaneous manufacturing industries",16126,17796,20491
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","447","          Ordnance","(NA)","(NA)","(NA)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","450","        Nondurable goods manufacturing",562402,669572,892941
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","453","          Food and kindred products",20701,20372,23828
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","456","          Tobacco products",0,0,0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","459","          Textile mill products",0,0,"(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","462","          Apparel and other textile products",694,864,931
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","465","          Paper and allied products",12220,14647,11939
