"CA6N Compensation of Employees by NAICS Industry"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","Total compensation of employees","","","","","","","","","","","","","","",""
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1","Compensation of employees (thousands of dollars) 1/",10248342,10664650,10923101,11275903,11530191,11733541,12046585,11720856,11391480,11756292,11976685,12408093,12768623,13080254,13817531
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","5","  Wages and salaries",8076069,8399971,8572948,8778012,8944071,9079609,9409462,9100488,8789749,8990423,9225414,9639839,9942378,10299793,10893116
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","6","  Supplements to wages and salaries",2172273,2264679,2350153,2497891,2586120,2653932,2637123,2620368,2601731,2765869,2751271,2768254,2826245,2780461,2924415
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","7","    Employer contributions for employee pension and insurance funds 2/",1566146,1632334,1712051,1836952,1914132,1968114,1942786,1933439,1936803,2083719,2064390,2054139,2091532,2027758,2138163
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","8","    Employer contributions for government social insurance",606127,632345,638102,660939,671988,685818,694337,686929,664928,682150,686881,714115,734713,752703,786252
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","9","Average compensation per job (dollars) 3/",48343,50623,52875,54639,55557,57137,59462,59260,59011,59712,59917,61621,62355,63434,65750
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","Compensation of employees by industry","","","","","","","","","","","","","","",""
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","81","  Farm compensation",9713,10399,8104,8570,7316,6870,9437,8146,8486,6898,8767,11358,10557,12279,13515
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","82","  Nonfarm compensation",10238629,10654251,10914997,11267333,11522875,11726671,12037148,11712710,11382994,11749394,11967918,12396735,12758066,13067975,13804016
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","90","    Private nonfarm compensation",7185361,7373689,7489284,7681965,7801744,7819717,8023770,7526852,7015551,7063098,7350941,7534282,7789910,8102877,8606484
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","100","      Forestry, fishing, and related activities",2161,2195,1034,1265,1239,1180,1240,1167,1414,1390,"(D)",1504,1579,1857,2251
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","101","        Forestry and logging","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","102","        Fishing, hunting and trapping","(D)","(D)",0,0,0,0,0,0,0,0,0,0,0,0,0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","103","        Support activities for agriculture and forestry",836,827,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1234,"(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","200","      Mining, quarrying, and oil and gas extraction",6384,4013,3006,874,955,986,807,629,353,437,"(D)",545,538,592,3081
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","201","        Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,"(D)","(D)","(D)",0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","202","        Mining (except oil and gas)",6384,4013,3006,874,955,986,807,629,353,437,"(D)","(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","203","        Support activities for mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","300","      Utilities",46927,52700,82802,92180,83428,92421,96600,86087,86127,98003,82694,74379,80021,80466,88263
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","400","      Construction",367914,363489,343328,356993,393349,344607,305319,275571,226209,211601,224240,223206,229526,259659,272251
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","401","        Construction of buildings",67559,64181,69515,67016,72084,79659,81093,67794,50485,42609,46112,51073,55979,65364,70559
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","402","        Heavy and civil engineering construction",83912,84505,83076,103067,129250,73084,54766,46398,31191,34263,30573,26258,27091,38745,32995
