Unemployment_Rate : Total
Region, Date, Frequency, Value
Andhra Pradesh, 2016-01-31, M, 17.93
Andhra Pradesh, 2016-02-29, M, 9.98
Andhra Pradesh, 2016-03-31, M, 10.76
Andhra Pradesh, 2016-04-30, M, 5.54
Andhra Pradesh, 2016-05-31, M, 6.30
Andhra Pradesh, 2016-06-30, M, 4.53
Andhra Pradesh, 2016-07-31, M, 4.87
Andhra Pradesh, 2016-08-31, M, 4.06
Andhra Pradesh, 2016-09-30, M, 7.57
Andhra Pradesh, 2016-10-31, M, 10.04
Andhra Pradesh, 2016-11-30, M, 5.24
Andhra Pradesh, 2016-12-31, M, 4.66
Andhra Pradesh, 2017-01-31, M, 5.85
Andhra Pradesh, 2017-02-28, M, 4.74
Andhra Pradesh, 2017-03-31, M, 3.07
Andhra Pradesh, 2017-04-30, M, 3.55
Andhra Pradesh, 2017-05-31, M, 2.32
Andhra Pradesh, 2017-06-30, M, 3.71
Assam, 2016-01-31, M, 5.90
Assam, 2016-02-29, M, 12.67
Assam, 2016-03-31, M, 4.32
Assam, 2016-04-30, M, 0.67
Assam, 2016-05-31, M, 3.78
Assam, 2016-06-30, M, 10.20
Assam, 2016-07-31, M, 12.99
Assam, 2016-08-31, M, 8.35
Assam, 2016-09-30, M, 8.29
Assam, 2016-10-31, M, 7.60
Assam, 2016-11-30, M, 10.38
Assam, 2016-12-31, M, 3.89
Assam, 2017-01-31, M, 7.99
Assam, 2017-02-28, M, 6.82
Assam, 2017-03-31, M, 7.09
Assam, 2017-04-30, M, 2.00
Assam, 2017-05-31, M, 12.64
Assam, 2017-06-30, M, 11.41
Bihar, 2016-01-31, M, 4.39
Bihar, 2016-02-29, M, 6.80
Bihar, 2016-03-31, M, 3.51
Bihar, 2016-04-30, M, 6.41
Bihar, 2016-05-31, M, 14.06
Bihar, 2016-06-30, M, 9.95
Bihar, 2016-07-31, M, 6.27
Bihar, 2016-08-31, M, 13.02
Bihar, 2016-09-30, M, 15.10
Bihar, 2016-10-31, M, 6.98
Bihar, 2016-11-30, M, 6.88
Bihar, 2016-12-31, M, 4.64
Bihar, 2017-01-31, M, 5.57
Bihar, 2017-02-28, M, 3.99
Bihar, 2017-03-31, M, 2.88
Bihar, 2017-04-30, M, 1.58
Bihar, 2017-05-31, M, 2.11
Bihar, 2017-06-30, M, 1.99
Chandigarh, 2016-01-31, M, 8.43
Chandigarh, 2016-02-29, M, 15.15
Chandigarh, 2016-03-31, M, 11.11
Chandigarh, 2016-04-30, M, 9.09
Chandigarh, 2016-05-31, M, 10.59
Chandigarh, 2016-06-30, M, 5.98
Chandigarh, 2016-07-31, M, 4.08
Chandigarh, 2016-08-31, M, 4.26
Chandigarh, 2016-09-30, M, 8.63
Chandigarh, 2016-10-31, M, 0.00
Chandigarh, 2016-11-30, M, 1.61
Chandigarh, 2016-12-31, M, 5.38
Chandigarh, 2017-01-31, M, 5.56
Chandigarh, 2017-02-28, M, 5.15
Chandigarh, 2017-03-31, M, 0.00
Chandigarh, 2017-04-30, M, 0.00
Chandigarh, 2017-05-31, M, 13.53
Chandigarh, 2017-06-30, M, 9.18
Chhattisgarh, 2016-01-31, M, 2.46
Chhattisgarh, 2016-02-29, M, 4.88
Chhattisgarh, 2016-03-31, M, 3.16
Chhattisgarh, 2016-04-30, M, 3.10
Chhattisgarh, 2016-05-31, M, 5.47
Chhattisgarh, 2016-06-30, M, 4.76
Chhattisgarh, 2016-07-31, M, 4.58
Chhattisgarh, 2016-08-31, M, 3.38
Chhattisgarh, 2016-09-30, M, 7.87
Chhattisgarh, 2016-10-31, M, 3.83
Chhattisgarh, 2016-11-30, M, 4.59
Chhattisgarh, 2016-12-31, M, 4.90
Chhattisgarh, 2017-01-31, M, 4.17
Chhattisgarh, 2017-02-28, M, 2.86
Chhattisgarh, 2017-03-31, M, 3.07
Chhattisgarh, 2017-04-30, M, 4.53
Chhattisgarh, 2017-05-31, M, 4.68
Chhattisgarh, 2017-06-30, M, 2.13
Delhi, 2016-01-31, M, 10.60
Delhi, 2016-02-29, M, 10.84
Delhi, 2016-03-31, M, 10.80
Delhi, 2016-04-30, M, 6.04
Delhi, 2016-05-31, M, 17.37
Delhi, 2016-06-30, M, 15.79
Delhi, 2016-07-31, M, 14.24
Delhi, 2016-08-31, M, 6.66
Delhi, 2016-09-30, M, 7.67
Delhi, 2016-10-31, M, 11.56
Delhi, 2016-11-30, M, 11.40
Delhi, 2016-12-31, M, 11.23
Delhi, 2017-01-31, M, 10.82
Delhi, 2017-02-28, M, 12.10
Delhi, 2017-03-31, M, 10.69
Delhi, 2017-04-30, M, 7.34
Delhi, 2017-05-31, M, 5.34
Delhi, 2017-06-30, M, 2.85
Goa, 2016-01-31, M, 12.31
Goa, 2016-02-29, M, 11.15
Goa, 2016-03-31, M, 4.93
Goa, 2016-04-30, M, 7.72
Goa, 2016-05-31, M, 16.15
Goa, 2016-06-30, M, 14.38
