Unemployment_Rate : Urban
Region, Date, Frequency, Value
Andhra Pradesh, 2016-01-31, M, 20.17
Andhra Pradesh, 2016-02-29, M, 9.73
Andhra Pradesh, 2016-03-31, M, 15.63
Andhra Pradesh, 2016-04-30, M, 9.68
Andhra Pradesh, 2016-05-31, M, 7.34
Andhra Pradesh, 2016-06-30, M, 6.75
Andhra Pradesh, 2016-07-31, M, 4.58
Andhra Pradesh, 2016-08-31, M, 6.58
Andhra Pradesh, 2016-09-30, M, 5.10
Andhra Pradesh, 2016-10-31, M, 7.32
Andhra Pradesh, 2016-11-30, M, 6.15
Andhra Pradesh, 2016-12-31, M, 6.10
Andhra Pradesh, 2017-01-31, M, 5.81
Andhra Pradesh, 2017-02-28, M, 4.54
Andhra Pradesh, 2017-03-31, M, 3.80
Andhra Pradesh, 2017-04-30, M, 5.49
Andhra Pradesh, 2017-05-31, M, 3.85
Andhra Pradesh, 2017-06-30, M, 3.39
Assam, 2016-01-31, M, 6.33
Assam, 2016-02-29, M, 9.06
Assam, 2016-03-31, M, 5.17
Assam, 2016-04-30, M, 4.27
Assam, 2016-05-31, M, 4.75
Assam, 2016-06-30, M, 5.79
Assam, 2016-07-31, M, 7.14
Assam, 2016-08-31, M, 13.01
Assam, 2016-09-30, M, 9.57
Assam, 2016-10-31, M, 10.51
Assam, 2016-11-30, M, 3.39
Assam, 2016-12-31, M, 5.78
Assam, 2017-01-31, M, 5.90
Assam, 2017-02-28, M, 10.08
Assam, 2017-03-31, M, 4.88
Assam, 2017-04-30, M, 1.76
Assam, 2017-05-31, M, 6.64
Assam, 2017-06-30, M, 9.54
Bihar, 2016-01-31, M, 8.97
Bihar, 2016-02-29, M, 20.46
Bihar, 2016-03-31, M, 10.99
Bihar, 2016-04-30, M, 13.05
Bihar, 2016-05-31, M, 21.60
Bihar, 2016-06-30, M, 23.61
Bihar, 2016-07-31, M, 19.83
Bihar, 2016-08-31, M, 17.30
Bihar, 2016-09-30, M, 20.12
Bihar, 2016-10-31, M, 10.59
Bihar, 2016-11-30, M, 10.97
Bihar, 2016-12-31, M, 6.18
Bihar, 2017-01-31, M, 11.24
Bihar, 2017-02-28, M, 8.04
Bihar, 2017-03-31, M, 5.58
Bihar, 2017-04-30, M, 3.37
Bihar, 2017-05-31, M, 5.63
Bihar, 2017-06-30, M, 3.87
Chandigarh, 2016-01-31, M, 8.43
