Unemployment_Rate : Rural
Region, Date, Frequency, Value
India, 2016-01-03, W, 5.92
India, 2016-01-10, W, 9.45
India, 2016-01-17, W, 7.24
India, 2016-01-24, W, 4.68
India, 2016-01-31, W, 7.15
India, 2016-02-07, W, 6.44
India, 2016-02-14, W, 7.10
India, 2016-02-21, W, 6.40
India, 2016-02-28, W, 7.42
India, 2016-03-06, W, 7.76
India, 2016-03-13, W, 8.17
India, 2016-03-20, W, 9.89
India, 2016-03-27, W, 8.01
India, 2016-04-03, W, 6.05
India, 2016-04-10, W, 8.02
India, 2016-04-17, W, 9.80
India, 2016-04-24, W, 8.85
India, 2016-05-01, W, 6.94
India, 2016-05-08, W, 11.02
India, 2016-05-15, W, 9.58
India, 2016-05-22, W, 6.27
India, 2016-05-29, W, 7.72
India, 2016-06-05, W, 10.04
India, 2016-06-12, W, 8.30
India, 2016-06-19, W, 8.53
India, 2016-06-26, W, 6.74
India, 2016-07-03, W, 6.55
India, 2016-07-10, W, 6.83
India, 2016-07-17, W, 5.43
India, 2016-07-24, W, 7.07
India, 2016-07-31, W, 6.83
India, 2016-08-07, W, 6.68
India, 2016-08-14, W, 8.29
India, 2016-08-21, W, 10.14
India, 2016-08-28, W, 8.45
India, 2016-09-04, W, 8.49
India, 2016-09-11, W, 7.51
India, 2016-09-18, W, 7.56
India, 2016-09-25, W, 7.05
India, 2016-10-02, W, 6.11
India, 2016-10-09, W, 8.16
India, 2016-10-16, W, 8.06
India, 2016-10-23, W, 5.63
India, 2016-10-30, W, 4.38
India, 2016-11-06, W, 5.64
India, 2016-11-13, W, 4.87
India, 2016-11-20, W, 5.54
India, 2016-11-27, W, 4.18
India, 2016-12-04, W, 6.14
India, 2016-12-11, W, 5.71
India, 2016-12-18, W, 7.02
India, 2016-12-25, W, 5.88
India, 2017-01-01, W, 3.85
India, 2017-01-08, W, 5.00
India, 2017-01-15, W, 5.88
India, 2017-01-22, W, 3.92
India, 2017-01-29, W, 4.78
India, 2017-02-05, W, 6.74
India, 2017-02-12, W, 4.73
India, 2017-02-19, W, 3.14
India, 2017-02-26, W, 3.52
India, 2017-03-05, W, 4.38
India, 2017-03-12, W, 3.30
India, 2017-03-19, W, 3.99
India, 2017-03-26, W, 4.07
India, 2017-04-02, W, 4.53
India, 2017-04-09, W, 3.92
India, 2017-04-16, W, 4.46
India, 2017-04-23, W, 3.65
India, 2017-04-30, W, 3.64
India, 2017-05-07, W, 4.61
India, 2017-05-14, W, 3.47
India, 2017-05-21, W, 3.88
India, 2017-05-28, W, 2.86
India, 2017-06-04, W, 2.46
India, 2017-06-11, W, 2.55
India, 2017-06-18, W, 3.79
India, 2017-06-25, W, 3.12
India, 2017-07-02, W, 3.33
India, 2017-07-09, W, 2.96
India, 2017-07-16, W, 3.30
India, 2017-07-23, W, 2.97
