Unemployment_Rate : Total
Region, Date, Frequency, Value
India, 2016-01-03, W, 8.27
India, 2016-01-10, W, 9.85
India, 2016-01-17, W, 7.89
India, 2016-01-24, W, 6.62
India, 2016-01-31, W, 8.46
India, 2016-02-07, W, 8.13
India, 2016-02-14, W, 8.26
India, 2016-02-21, W, 8.09
India, 2016-02-28, W, 8.44
India, 2016-03-06, W, 8.87
India, 2016-03-13, W, 9.22
India, 2016-03-20, W, 10.38
India, 2016-03-27, W, 9.57
India, 2016-04-03, W, 8.45
India, 2016-04-10, W, 9.99
India, 2016-04-17, W, 10.82
India, 2016-04-24, W, 10.01
India, 2016-05-01, W, 8.52
India, 2016-05-08, W, 11.19
India, 2016-05-15, W, 10.61
India, 2016-05-22, W, 8.98
India, 2016-05-29, W, 9.14
India, 2016-06-05, W, 10.15
India, 2016-06-12, W, 9.03
India, 2016-06-19, W, 9.33
India, 2016-06-26, W, 8.37
India, 2016-07-03, W, 8.09
India, 2016-07-10, W, 7.77
India, 2016-07-17, W, 7.26
India, 2016-07-24, W, 8.69
India, 2016-07-31, W, 8.85
India, 2016-08-07, W, 8.36
India, 2016-08-14, W, 9.85
India, 2016-08-21, W, 10.35
India, 2016-08-28, W, 9.18
India, 2016-09-04, W, 8.93
India, 2016-09-11, W, 8.10
India, 2016-09-18, W, 8.21
India, 2016-09-25, W, 8.25
India, 2016-10-02, W, 7.24
India, 2016-10-09, W, 8.22
India, 2016-10-16, W, 7.18
India, 2016-10-23, W, 5.94
India, 2016-10-30, W, 5.23
India, 2016-11-06, W, 6.62
India, 2016-11-13, W, 5.75
India, 2016-11-20, W, 6.21
India, 2016-11-27, W, 4.89
India, 2016-12-04, W, 6.08
India, 2016-12-11, W, 6.33
India, 2016-12-18, W, 6.88
India, 2016-12-25, W, 6.39
India, 2017-01-01, W, 5.00
India, 2017-01-08, W, 5.66
India, 2017-01-15, W, 6.20
India, 2017-01-22, W, 4.91
India, 2017-01-29, W, 5.89
India, 2017-02-05, W, 6.65
India, 2017-02-12, W, 4.85
India, 2017-02-19, W, 4.12
India, 2017-02-26, W, 4.35
India, 2017-03-05, W, 4.61
India, 2017-03-12, W, 3.94
India, 2017-03-19, W, 4.23
India, 2017-03-26, W, 4.49
India, 2017-04-02, W, 4.47
India, 2017-04-09, W, 3.90
India, 2017-04-16, W, 4.34
India, 2017-04-23, W, 3.70
India, 2017-04-30, W, 3.90
India, 2017-05-07, W, 4.48
India, 2017-05-14, W, 3.93
India, 2017-05-21, W, 4.19
India, 2017-05-28, W, 3.67
India, 2017-06-04, W, 3.32
India, 2017-06-11, W, 3.28
India, 2017-06-18, W, 3.83
India, 2017-06-25, W, 3.62
India, 2017-07-02, W, 3.59
India, 2017-07-09, W, 3.08
India, 2017-07-16, W, 3.49
India, 2017-07-23, W, 3.26
