Unemployment_Rate : Urban
Region, Date, Frequency, Value
India, 2016-01-03, W, 12.09
India, 2016-01-10, W, 10.68
India, 2016-01-17, W, 9.20
India, 2016-01-24, W, 10.52
India, 2016-01-31, W, 11.16
India, 2016-02-07, W, 11.33
India, 2016-02-14, W, 10.51
India, 2016-02-21, W, 11.31
India, 2016-02-28, W, 10.51
India, 2016-03-06, W, 10.96
India, 2016-03-13, W, 11.25
India, 2016-03-20, W, 11.41
India, 2016-03-27, W, 12.55
India, 2016-04-03, W, 12.96
India, 2016-04-10, W, 14.13
India, 2016-04-17, W, 12.87
India, 2016-04-24, W, 12.27
India, 2016-05-01, W, 11.73
India, 2016-05-08, W, 11.53
India, 2016-05-15, W, 12.75
India, 2016-05-22, W, 14.28
India, 2016-05-29, W, 12.11
India, 2016-06-05, W, 10.39
India, 2016-06-12, W, 10.43
India, 2016-06-19, W, 10.84
India, 2016-06-26, W, 11.60
India, 2016-07-03, W, 11.15
India, 2016-07-10, W, 9.64
India, 2016-07-17, W, 10.89
India, 2016-07-24, W, 12.00
India, 2016-07-31, W, 12.58
India, 2016-08-07, W, 11.70
India, 2016-08-14, W, 13.00
India, 2016-08-21, W, 10.75
India, 2016-08-28, W, 10.70
India, 2016-09-04, W, 9.82
India, 2016-09-11, W, 9.34
India, 2016-09-18, W, 9.56
India, 2016-09-25, W, 10.75
India, 2016-10-02, W, 9.58
India, 2016-10-09, W, 8.35
India, 2016-10-16, W, 5.42
India, 2016-10-23, W, 6.55
India, 2016-10-30, W, 7.00
India, 2016-11-06, W, 8.67
India, 2016-11-13, W, 7.45
India, 2016-11-20, W, 7.62
India, 2016-11-27, W, 6.32
India, 2016-12-04, W, 5.96
India, 2016-12-11, W, 7.64
India, 2016-12-18, W, 6.61
India, 2016-12-25, W, 7.40
India, 2017-01-01, W, 7.34
India, 2017-01-08, W, 7.05
India, 2017-01-15, W, 6.84
India, 2017-01-22, W, 6.92
India, 2017-01-29, W, 8.09
India, 2017-02-05, W, 6.48
India, 2017-02-12, W, 5.10
India, 2017-02-19, W, 6.08
India, 2017-02-26, W, 5.97
India, 2017-03-05, W, 5.07
India, 2017-03-12, W, 5.20
India, 2017-03-19, W, 4.72
India, 2017-03-26, W, 5.31
India, 2017-04-02, W, 4.35
India, 2017-04-09, W, 3.87
India, 2017-04-16, W, 4.11
India, 2017-04-23, W, 3.80
India, 2017-04-30, W, 4.43
India, 2017-05-07, W, 4.21
India, 2017-05-14, W, 4.91
India, 2017-05-21, W, 4.79
India, 2017-05-28, W, 5.32
India, 2017-06-04, W, 5.06
India, 2017-06-11, W, 4.76
India, 2017-06-18, W, 3.91
India, 2017-06-25, W, 4.63
India, 2017-07-02, W, 4.10
India, 2017-07-09, W, 3.30
India, 2017-07-16, W, 3.86
India, 2017-07-23, W, 3.84
