"Sr.No","State/UT","Total No. of applications received - Pre-Matric Scholarship Scheme","Total No. of applications received - Post-Matric Scholarship Scheme"
"1","A & N Island","23","9"
"2","Andhra Pradesh","798","327"
"3","Arunachal Pradesh","5","31"
"4","Assam","58","212"
"5","Bihar","126","859"
"6","Chandigarh","6","18"
"7","Chhattisgarh","219","286"
"8","Dadra & Nagar Haveli","0","6"
"9","Daman & Diu","4","0"
"10","Goa","0","7"
"11","Gujarat","246","374"
"12","Haryana","11","107"
"13","Himachal Pradesh","73","54"
"14","Jammu & Kashmir","38","210"
"15","Jharkhand","9","214"
"16","Karnataka","2548","1630"
"17","Kerala","1383","648"
"18","Lakshadweep","0","3"
"19","Madhya Pradesh","6593","4092"
"20","Maharashtra","138","350"
"21","Manipur","2","14"
"22","Meghalaya","17","67"
"23","Mizoram","18","42"
"24","Nagaland","0","12"
"25","Delhi","37","372"
"26","Odisha","1103","1225"
"27","Puducherry","8","12"
"28","Punjab","79","174"
"29","Rajasthan","468","776"
"30","Sikkim","2","21"
"31","Tamil Nadu","467","1059"
"32","Telangana","45","183"
"33","Tripura","86","88"
"34","Uttar Pradesh","657","2978"
"35","Uttarakhand","18","83"
"36","West Bengal","461","1426"
