"Per capita real GDP by metropolitan area (chained 2009 dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"00998","United States (Metropolitan Portion)",47985,48346,49081,50316,51469,52333,52588,51715,49794,50379,50620,51216,51371,52078,52896
"10180","Abilene, TX (Metropolitan Statistical Area)",29359,30294,30953,31270,31033,32152,33351,33949,32442,32291,32648,35022,35926,36835,36296
"10420","Akron, OH (Metropolitan Statistical Area)",38079,39277,40275,41631,42578,42513,42506,42246,39589,40472,41194,41810,41784,43044,44246
"10500","Albany, GA (Metropolitan Statistical Area)",33584,33376,33922,34016,34558,33502,32789,31394,31512,30594,29961,29943,30117,29665,29626
"10540","Albany, OR (Metropolitan Statistical Area)",27659,28289,27368,29434,29408,30076,28204,27413,26437,25497,25293,26065,26187,26061,26651
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",46150,46233,47307,48474,48558,48767,47773,47674,48893,49111,48841,49507,50164,50485,51399
"10740","Albuquerque, NM (Metropolitan Statistical Area)",44044,43067,45058,48573,47241,46395,44353,44620,43783,43426,43161,42924,41998,42586,42613
"10780","Alexandria, LA (Metropolitan Statistical Area)",29486,30397,30637,32423,33416,34934,35771,35850,35072,35427,32404,32094,30999,30900,30482
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",39396,39814,38660,38547,38833,38908,38771,38216,36763,37822,38058,38253,38547,39369,40120
"11020","Altoona, PA (Metropolitan Statistical Area)",32039,32192,33097,33672,34535,34618,35160,34690,34531,34802,34593,34460,34889,35649,35996
"11100","Amarillo, TX (Metropolitan Statistical Area)",35523,36036,36586,37198,37095,38623,39145,39846,39766,39827,38895,39696,40139,41271,41460
"11180","Ames, IA (Metropolitan Statistical Area)",42247,41763,44189,45905,46246,48813,47974,53122,47124,50055,47045,44149,43891,45343,45153
"11260","Anchorage, AK (Metropolitan Statistical Area)",60114,61563,60351,61888,63117,63966,65968,66588,72290,69808,69967,72998,69022,66391,66599
"11460","Ann Arbor, MI (Metropolitan Statistical Area)",56169,58976,59657,58712,58868,58148,58847,56960,53626,55044,54005,52763,52798,52848,53490
"11500","Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",28054,29174,30209,32305,33015,33147,34154,34080,31937,32286,31732,30886,29791,29577,29538
"11540","Appleton, WI (Metropolitan Statistical Area)",44788,43716,45356,46856,47129,46673,47197,45393,44717,44339,44973,45567,45236,46661,47310
"11700","Asheville, NC (Metropolitan Statistical Area)",31618,32062,32428,33438,33978,34827,34039,35179,34052,33298,32836,32938,32219,32617,33562
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)",35290,34888,35330,35189,36276,35649,35422,35500,34851,34528,34105,34377,34311,34672,35432
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",57331,56785,56702,56956,58069,57321,57402,55125,51732,51361,51446,51482,51725,52615,53216
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",52270,53544,54403,53899,54987,55086,52605,50572,47462,47323,46288,46056,44651,43923,42899
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)",24425,25130,25681,27345,27719,27987,27894,28238,26863,27477,28181,27728,27312,28102,28326
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",36418,36026,36562,36208,36343,35394,34726,34051,33629,34116,34125,33891,33563,33486,33475
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)",45398,44756,45794,47913,49373,51163,50632,51007,48501,50016,50775,52244,52912,54233,55323
"12540","Bakersfield, CA (Metropolitan Statistical Area)",31687,33555,33114,33795,34749,36049,36652,36120,36852,36143,34819,36591,36389,37150,36896
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",49107,50081,50760,52772,54107,55031,55358,54837,54389,55666,56154,56521,56593,57445,58041
"12620","Bangor, ME (Metropolitan Statistical Area)",35561,36142,35797,37118,37010,37206,36776,35649,34830,34483,34078,34290,34042,33800,34309
"12700","Barnstable Town, MA (Metropolitan Statistical Area)",40854,44074,43328,43738,44069,42880,41550,41272,40993,41635,42883,44450,44464,44567,45298
"12940","Baton Rouge, LA (Metropolitan Statistical Area)",43694,46981,50040,52172,57912,53322,51143,51329,50792,53659,51605,52613,51096,52450,54946
"12980","Battle Creek, MI (Metropolitan Statistical Area)",35186,37773,38310,38540,39079,38291,37660,37597,35760,38346,37425,37344,38155,37577,37745
"13020","Bay City, MI (Metropolitan Statistical Area)",27202,28328,28435,28151,28203,28394,27888,27550,27070,27511,27209,27227,27235,26914,26759
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",35919,38752,40218,44788,41728,44098,47471,42049,45423,47744,44412,43008,47921,47460,49966
"13220","Beckley, WV (Metropolitan Statistical Area)",29613,29803,29391,29932,31395,32226,31443,32388,31119,33892,35425,34906,34593,34516,34821
"13380","Bellingham, WA (Metropolitan Statistical Area)",36147,40350,41230,39840,47007,41589,42323,41219,42722,43852,38907,38550,39947,38378,39315
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)",40034,41816,42879,43521,44109,45406,43291,41607,38092,36928,35280,35706,35982,36359,37770
"13740","Billings, MT (Metropolitan Statistical Area)",41738,42027,43929,45661,46137,46581,50437,47311,42518,45012,48286,47885,47818,49634,52198
"13780","Binghamton, NY (Metropolitan Statistical Area)",29325,29470,29899,30515,31375,31964,33417,34306,34263,34778,35029,34844,34921,34480,34345
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)",48110,49243,48723,50238,50749,49867,49882,49195,45475,46000,47381,49111,48563,49220,50174
"13900","Bismarck, ND (Metropolitan Statistical Area)",38690,39547,41867,42848,42934,42556,41857,43124,43174,44378,45493,50751,51697,53060,54829
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",30437,30003,31289,31441,32668,33439,34449,31707,30514,30786,31630,33872,32342,32739,32394
"14010","Bloomington, IL (Metropolitan Statistical Area)",51208,50888,51797,53168,51600,54254,52847,50928,51357,52031,52220,53517,53888,53547,49490
"14020","Bloomington, IN (Metropolitan Statistical Area)",34442,33837,34589,35597,36474,37622,37909,38551,38913,38552,37415,35983,34784,35509,35501
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",34832,37036,35935,36892,36148,37129,38037,38267,37547,39111,40118,40217,41023,39202,40911
"14260","Boise City, ID (Metropolitan Statistical Area)",41378,41334,41920,42755,43736,44704,44447,42691,39663,40071,39418,39789,40165,40210,40503
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",64362,64223,65655,67421,68926,70115,71990,71445,69411,71696,72643,73815,72518,73595,74545
"14500","Boulder, CO (Metropolitan Statistical Area)",59285,57214,58073,59994,61627,61866,64165,63710,61907,62949,63337,64430,65254,66358,67439
"14540","Bowling Green, KY (Metropolitan Statistical Area)",30745,31526,32465,33394,34993,36040,35458,35021,31805,33056,33013,33725,34445,34627,34805
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)",34838,37013,37223,36656,37519,37884,37467,37060,36121,35607,34910,34739,34414,35270,34991
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",87348,85922,86711,91545,93323,96137,98989,92494,85861,88665,89684,92224,92557,93655,94201
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)",19198,19274,19287,19111,19173,19592,19705,19741,19503,19519,19209,19580,19540,19869,20088
"15260","Brunswick, GA (Metropolitan Statistical Area)",31963,32138,33440,34354,34316,34458,33096,32011,30645,28830,28406,28314,28161,27689,27442
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",37197,38790,39351,40279,40594,41347,40660,40653,41481,42350,42569,43142,43433,43603,44054
"15500","Burlington, NC (Metropolitan Statistical Area)",34315,34616,33087,33605,33528,34227,32426,31776,28662,28972,29368,30690,29643,28656,28700
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)",44214,45017,47477,48984,49692,50477,49733,50317,49664,52343,54292,54772,53714,53961,53759
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)",45600,46919,48300,48076,47080,48103,47831,47299,48755,50328,51164,50041,49145,48700,48781
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)",34369,34592,34798,35381,35825,34743,34139,33877,31743,32634,34210,35211,37909,39444,39819
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",39722,39604,39492,40677,42299,41495,38911,35453,32425,31526,30345,30863,31439,31771,32374
